
2024/07/09 (19:44:54) | INFO: Quitting! Runtime: 00:00:01

2024/07/09 (20:02:29) | ===> btop++ v.1.3.2
2024/07/09 (20:02:29) | INFO: Logger set to DEBUG
2024/07/09 (20:02:29) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (20:02:29) | INFO: Running on /dev/pts/0
2024/07/09 (20:02:29) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (20:02:29) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (20:02:29) | DEBUG: Shared::init() : Initialized.
2024/07/09 (20:02:36) | INFO: Quitting! Runtime: 00:00:07

2024/07/09 (20:03:52) | ===> btop++ v.1.3.2
2024/07/09 (20:03:52) | INFO: Logger set to DEBUG
2024/07/09 (20:03:52) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (20:03:52) | INFO: Running on /dev/pts/0
2024/07/09 (20:03:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (20:03:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (20:03:52) | DEBUG: Shared::init() : Initialized.
2024/07/09 (20:04:00) | INFO: Quitting! Runtime: 00:00:08

2024/07/09 (20:04:15) | ===> btop++ v.1.3.2
2024/07/09 (20:04:15) | INFO: Logger set to DEBUG
2024/07/09 (20:04:15) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (20:04:15) | INFO: Running on /dev/pts/0
2024/07/09 (20:04:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (20:04:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (20:04:15) | DEBUG: Shared::init() : Initialized.
2024/07/09 (20:05:04) | DEBUG: Writing new config file
2024/07/09 (20:05:04) | ERROR: Exception during Config::unlock() : unordered_map::at
2024/07/09 (20:05:04) | INFO: Quitting! Runtime: 00:00:49

2024/07/09 (20:05:05) | ===> btop++ v.1.3.2
2024/07/09 (20:05:05) | INFO: Logger set to DEBUG
2024/07/09 (20:05:05) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (20:05:05) | INFO: Running on /dev/pts/0
2024/07/09 (20:05:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
